5 51
1 160
1 0
2 7
3 30
4 16
5 9
6 21
7 15
8 19
9 23
10 11
11 5
12 19
13 29
14 23
15 21
16 10
17 15
18 3
19 41
20 9
21 28
22 8
23 8
24 16
25 10
26 28
27 7
28 15
29 14
30 6
31 19
32 11
33 12
34 23
35 26
36 17
37 6
38 9
39 15
40 14
41 7
42 27
43 13
44 11
45 16
46 10
47 5
48 25
49 17
50 18
51 10
1 1 0.0
1 2 14.0
1 3 21.0
1 4 33.0
1 5 17.0
1 6 14.0
1 7 11.0
1 8 26.0
1 9 22.0
1 10 23.0
1 11 28.0
1 12 12.0
1 13 8.0
1 14 29.0
1 15 18.0
1 16 25.0
1 17 22.0
1 18 17.0
1 19 15.0
1 20 32.0
1 21 32.0
1 22 32.0
1 23 21.0
1 24 22.0
1 25 25.0
1 26 23.0
1 27 28.0
1 28 8.0
1 29 30.0
1 30 29.0
1 31 31.0
1 32 30.0
1 33 10.0
1 34 34.0
1 35 32.0
1 36 39.0
1 37 44.0
1 38 18.0
1 39 16.0
1 40 38.0
1 41 42.0
1 42 30.0
1 43 31.0
1 44 35.0
1 45 25.0
1 46 31.0
1 47 2.0
1 48 9.0
1 49 16.0
1 50 22.0
1 51 26.0
2 1 14.0
2 2 0.0
2 3 12.0
2 4 19.0
2 5 31.0
2 6 22.0
2 7 17.0
2 8 23.0
2 9 12.0
2 10 24.0
2 11 34.0
2 12 12.0
2 13 21.0
2 14 42.0
2 15 27.0
2 16 36.0
2 17 19.0
2 18 31.0
2 19 28.0
2 20 46.0
2 21 21.0
2 22 27.0
2 23 7.0
2 24 22.0
2 25 29.0
2 26 33.0
2 27 19.0
2 28 8.0
2 29 16.0
2 30 21.0
2 31 33.0
2 32 17.0
2 33 6.0
2 34 43.0
2 35 31.0
2 36 27.0
2 37 31.0
2 38 30.0
2 39 19.0
2 40 43.0
2 41 56.0
2 42 44.0
2 43 45.0
2 44 34.0
2 45 38.0
2 46 42.0
2 47 14.0
2 48 23.0
2 49 12.0
2 50 26.0
2 51 24.0
3 1 21.0
3 2 12.0
3 3 0.0
3 4 15.0
3 5 37.0
3 6 21.0
3 7 28.0
3 8 35.0
3 9 22.0
3 10 16.0
3 11 28.0
3 12 11.0
3 13 25.0
3 14 50.0
3 15 38.0
3 16 35.0
3 17 9.0
3 18 34.0
3 19 36.0
3 20 51.0
3 21 12.0
3 22 15.0
3 23 11.0
3 24 34.0
3 25 41.0
3 26 43.0
3 27 29.0
3 28 19.0
3 29 19.0
3 30 9.0
3 31 24.0
3 32 23.0
3 33 11.0
3 34 39.0
3 35 20.0
3 36 19.0
3 37 24.0
3 38 32.0
3 39 15.0
3 40 35.0
3 41 62.0
3 42 50.0
3 43 48.0
3 44 46.0
3 45 39.0
3 46 40.0
3 47 20.0
3 48 29.0
3 49 25.0
3 50 21.0
3 51 14.0
4 1 33.0
4 2 19.0
4 3 15.0
4 4 0.0
4 5 50.0
4 6 36.0
4 7 35.0
4 8 35.0
4 9 21.0
4 10 31.0
4 11 43.0
4 12 25.0
4 13 38.0
4 14 61.0
4 15 46.0
4 16 51.0
4 17 23.0
4 18 48.0
4 19 47.0
4 20 64.0
4 21 8.0
4 22 24.0
4 23 12.0
4 24 37.0
4 25 46.0
4 26 52.0
4 27 25.0
4 28 27.0
4 29 9.0
4 30 17.0
4 31 37.0
4 32 16.0
4 33 23.0
4 34 54.0
4 35 32.0
4 36 10.0
4 37 12.0
4 38 47.0
4 39 30.0
4 40 49.0
4 41 75.0
4 42 63.0
4 43 62.0
4 44 47.0
4 45 54.0
4 46 56.0
4 47 32.0
4 48 42.0
4 49 28.0
4 50 36.0
4 51 27.0
5 1 17.0
5 2 31.0
5 3 37.0
5 4 50.0
5 5 0.0
5 6 20.0
5 7 21.0
5 8 37.0
5 9 38.0
5 10 33.0
5 11 31.0
5 12 27.0
5 13 13.0
5 14 15.0
5 15 18.0
5 16 19.0
5 17 35.0
5 18 8.0
5 19 8.0
5 20 15.0
5 21 49.0
5 22 45.0
5 23 38.0
5 24 31.0
5 25 29.0
5 26 18.0
5 27 43.0
5 28 24.0
5 29 47.0
5 30 44.0
5 31 38.0
5 32 46.0
5 33 27.0
5 34 31.0
5 35 42.0
5 36 56.0
5 37 61.0
5 38 13.0
5 39 27.0
5 40 41.0
5 41 25.0
5 42 13.0
5 43 16.0
5 44 41.0
5 45 15.0
5 46 25.0
5 47 18.0
5 48 8.0
5 49 29.0
5 50 28.0
5 51 38.0
6 1 14.0
6 2 22.0
6 3 21.0
6 4 36.0
6 5 20.0
6 6 0.0
6 7 25.0
6 8 40.0
6 9 33.0
6 10 12.0
6 11 14.0
6 12 11.0
6 13 9.0
6 14 35.0
6 15 30.0
6 16 15.0
6 17 16.0
6 18 15.0
6 19 23.0
6 20 32.0
6 21 33.0
6 22 25.0
6 23 27.0
6 24 36.0
6 25 39.0
6 26 34.0
6 27 40.0
6 28 21.0
6 29 37.0
6 30 25.0
6 31 18.0
6 32 39.0
6 33 16.0
6 34 21.0
6 35 21.0
6 36 40.0
6 37 45.0
6 38 11.0
6 39 7.0
6 40 24.0
6 41 42.0
6 42 33.0
6 43 28.0
6 44 49.0
6 45 18.0
6 46 20.0
6 47 12.0
6 48 15.0
6 49 29.0
6 50 8.0
6 51 17.0
7 1 11.0
7 2 17.0
7 3 28.0
7 4 35.0
7 5 21.0
7 6 25.0
7 7 0.0
7 8 16.0
7 9 18.0
7 10 34.0
7 11 40.0
7 12 22.0
7 13 18.0
7 14 27.0
7 15 10.0
7 16 34.0
7 17 32.0
7 18 25.0
7 19 15.0
7 20 35.0
7 21 38.0
7 22 41.0
7 23 23.0
7 24 11.0
7 25 14.0
7 26 17.0
7 27 22.0
7 28 9.0
7 29 30.0
7 30 37.0
7 31 42.0
7 32 27.0
7 33 17.0
7 34 45.0
7 35 42.0
7 36 44.0
7 37 47.0
7 38 27.0
7 39 27.0
7 40 50.0
7 41 44.0
7 42 32.0
7 43 37.0
7 44 23.0
7 45 33.0
7 46 41.0
7 47 14.0
7 48 16.0
7 49 9.0
7 50 33.0
7 51 36.0
8 1 26.0
8 2 23.0
8 3 35.0
8 4 35.0
8 5 37.0
8 6 40.0
8 7 16.0
8 8 0.0
8 9 14.0
8 10 46.0
8 11 54.0
8 12 33.0
8 13 34.0
8 14 40.0
8 15 22.0
8 16 51.0
8 17 41.0
8 18 41.0
8 19 30.0
8 20 50.0
8 21 40.0
8 22 50.0
8 23 26.0
8 24 6.0
8 25 14.0
8 26 27.0
8 27 11.0
8 28 20.0
8 29 26.0
8 30 44.0
8 31 55.0
8 32 21.0
8 33 27.0
8 34 60.0
8 35 53.0
8 36 45.0
8 37 46.0
8 38 44.0
8 39 40.0
8 40 64.0
8 41 58.0
8 42 47.0
8 43 53.0
8 44 12.0
8 45 50.0
8 46 57.0
8 47 28.0
8 48 32.0
8 49 11.0
8 50 47.0
8 51 47.0
9 1 22.0
9 2 12.0
9 3 22.0
9 4 21.0
9 5 38.0
9 6 33.0
9 7 18.0
9 8 14.0
9 9 0.0
9 10 36.0
9 11 46.0
9 12 24.0
9 13 30.0
9 14 45.0
9 15 28.0
9 16 46.0
9 17 30.0
9 18 39.0
9 19 32.0
9 20 52.0
9 21 26.0
9 22 37.0
9 23 12.0
9 24 16.0
9 25 25.0
9 26 34.0
9 27 7.0
9 28 14.0
9 29 13.0
9 30 30.0
9 31 44.0
9 32 9.0
9 33 17.0
9 34 54.0
9 35 42.0
9 36 31.0
9 37 33.0
9 38 40.0
9 39 30.0
9 40 55.0
9 41 62.0
9 42 50.0
9 43 53.0
9 44 26.0
9 45 47.0
9 46 53.0
9 47 23.0
9 48 31.0
9 49 9.0
9 50 38.0
9 51 35.0
10 1 23.0
10 2 24.0
10 3 16.0
10 4 31.0
10 5 33.0
10 6 12.0
10 7 34.0
10 8 46.0
10 9 36.0
10 10 0.0
10 11 12.0
10 12 13.0
10 13 21.0
10 14 48.0
10 15 41.0
10 16 23.0
10 17 8.0
10 18 27.0
10 19 35.0
10 20 44.0
10 21 25.0
10 22 13.0
10 23 26.0
10 24 43.0
10 25 48.0
10 26 45.0
10 27 43.0
10 28 27.0
10 29 35.0
10 30 16.0
10 31 8.0
10 32 39.0
10 33 19.0
10 34 24.0
10 35 9.0
10 36 32.0
10 37 38.0
10 38 23.0
