depot (x,y)
0 0
time horizon
72000
#id x(delivery) y(delivery) time call
0 6 4 45 297 
1 1 3 38 494 
2 18 1 25 728 
3 17 14 40 850 
4 3 5 40 1077 
5 16 16 18 1213 
6 19 13 33 1409 
7 17 5 13 1622 
8 19 10 50 1770 
9 17 12 23 1914 
10 9 4 17 2133 
11 3 11 46 2280 
12 7 15 41 2575 
13 0 13 35 2732 
14 4 16 26 2853 
15 6 6 23 3049 
16 7 12 46 3225 
17 3 5 37 3525 
18 16 7 39 3727 
19 5 2 49 3915 
20 12 18 42 4208 
21 8 12 41 4390 
22 10 6 34 4652 
23 16 4 20 4918 
24 3 10 35 5176 
25 18 3 20 5459 
26 19 16 39 5669 
27 0 19 23 5800 
28 6 16 28 5925 
29 16 9 34 6052 
30 11 19 40 6275 
31 19 0 33 6536 
32 9 12 49 6790 
33 11 13 22 7003 
34 2 18 48 7189 
35 19 5 17 7378 
36 6 4 43 7657 
37 19 17 13 7795 
38 6 7 43 7927 
39 2 17 32 8150 
40 3 19 16 8276 
41 14 16 40 8461 
42 13 9 19 8736 
43 0 0 31 8860 
44 6 17 15 9097 
45 2 12 20 9376 
46 15 18 14 9618 
47 10 1 31 9829 
48 3 9 22 10084 
49 14 7 10 10285 
50 13 13 36 10552 
51 0 14 33 10689 
52 12 17 22 10941 
53 9 5 22 11236 
54 2 4 42 11532 
55 19 4 33 11782 
56 7 11 28 12077 
57 8 11 36 12265 
58 5 6 31 12419 
59 2 12 26 12650 
60 7 3 24 12869 
61 7 5 23 13070 
62 4 12 24 13370 
63 12 19 31 13543 
64 14 10 46 13752 
65 16 7 14 13953 
66 1 16 38 14171 
67 15 4 21 14310 
68 3 15 19 14465 
69 1 15 26 14596 
70 15 12 37 14823 
71 18 17 25 15039 
72 0 8 26 15165 
73 5 4 37 15314 
74 13 7 28 15476 
75 15 10 14 15773 
76 0 13 25 16007 
77 18 11 44 16257 
78 13 0 14 16458 
79 1 7 30 16626 
80 6 14 33 16810 
81 16 5 47 17074 
82 13 15 26 17228 
83 18 1 30 17478 
84 15 9 28 17708 
85 7 7 27 17862 
86 17 6 13 18149 
87 4 5 33 18428 
88 6 13 17 18594 
89 4 11 38 18786 
90 10 16 33 19084 
91 11 6 15 19226 
92 2 11 14 19478 
93 12 4 11 19635 
94 3 11 42 19921 
95 0 10 41 20180 
96 6 19 31 20420 
97 14 2 49 20695 
98 10 6 25 20829 
99 14 0 28 21091 
100 19 19 44 21216 
101 1 5 35 21475 
102 15 19 31 21664 
103 17 14 28 21852 
104 17 14 45 22021 
105 10 5 17 22160 
106 7 13 50 22377 
107 1 4 21 22630 
108 5 13 35 22887 
109 5 3 32 23029 
110 13 2 29 23283 
111 10 10 12 23418 
112 15 0 13 23703 
113 16 5 24 23922 
114 0 5 45 24201 
115 2 1 13 24454 
116 0 13 12 24632 
117 9 13 12 24801 
118 17 4 20 24972 
119 16 10 50 25130 
120 4 19 47 25382 
121 11 5 41 25593 
122 1 3 49 25875 
123 10 0 19 26041 
124 12 15 49 26339 
125 4 5 20 26537 
126 16 9 48 26780 
127 14 17 10 26985 
128 0 17 36 27133 
129 12 13 28 27325 
130 10 9 33 27474 
131 4 13 28 27768 
132 18 19 33 27916 
133 0 15 35 28043 
134 5 6 49 28333 
135 13 8 50 28467 
136 19 16 38 28740 
137 14 2 21 28867 
138 15 12 15 29035 
139 9 2 32 29222 
140 12 5 25 29488 
141 2 0 25 29763 
142 0 5 19 29944 
143 1 2 22 30227 
144 14 19 18 30406 
145 10 16 32 30628 
146 17 16 43 30870 
147 5 10 16 31039 
148 8 1 21 31286 
149 1 19 22 31556 
150 1 15 25 31847 
151 14 7 19 32035 
152 12 9 41 32303 
153 4 14 31 32457 
154 14 2 43 32635 
155 7 15 47 32842 
156 9 4 29 33121 
157 19 13 30 33316 
158 4 17 19 33460 
159 7 17 23 33693 
160 5 0 16 33873 
161 16 13 30 34012 
162 8 0 31 34165 
163 8 9 47 34358 
164 3 0 35 34637 
165 17 10 35 34937 
166 1 5 45 35140 
167 9 5 26 35432 
168 9 19 42 35658 
169 5 8 29 35894 
170 10 19 24 36060 
171 12 17 21 36344 
172 2 18 18 36472 
173 10 13 36 36685 
174 13 4 45 36981 
175 7 10 12 37206 
176 16 14 14 37481 
177 3 4 29 37662 
178 0 16 30 37816 
179 18 19 11 37986 
180 18 10 21 38144 
181 3 3 40 38382 
182 3 19 29 38655 
183 18 2 27 38832 
184 10 5 34 38988 
185 16 1 40 39162 
186 15 13 25 39298 
187 15 18 23 39583 
188 11 1 13 39735 
189 4 15 21 39960 
190 7 16 39 40220 
191 6 9 12 40359 
192 16 7 29 40656 
193 18 14 26 40925 
194 5 4 13 41067 
195 10 11 34 41230 
196 14 17 17 41371 
197 0 9 49 41536 
198 17 17 14 41778 
199 6 8 15 41932 
200 9 14 47 42182 
201 18 3 47 42352 
202 0 3 15 42623 
203 17 5 27 42922 
204 18 7 29 43152 
205 12 15 18 43383 
206 1 0 23 43532 
207 0 18 10 43796 
208 16 13 28 43942 
209 19 5 45 44165 
210 18 12 35 44303 
211 10 17 24 44446 
212 15 8 11 44604 
213 12 14 35 44887 
214 19 3 35 45112 
215 9 8 46 45265 
216 19 0 40 45532 
217 2 7 10 45762 
218 9 9 41 46032 
219 5 2 44 46228 
220 13 18 18 46503 
221 0 17 43 46738 
222 16 16 39 46965 
223 4 14 38 47129 
224 1 15 35 47317 
225 11 6 29 47553 
226 16 0 23 47774 
227 11 1 42 47937 
228 4 3 47 48071 
229 7 5 46 48215 
230 2 5 19 48409 
231 15 15 21 48592 
232 19 10 13 48803 
233 13 2 45 48941 
234 12 0 38 49147 
235 12 9 20 49408 
236 16 9 22 49630 
237 17 5 46 49870 
238 19 5 44 50100 
239 15 11 13 50349 
240 19 5 34 50608 
241 9 6 43 50745 
242 15 4 19 50991 
243 4 15 47 51204 
244 10 6 20 51443 
245 16 14 30 51687 
246 2 15 28 51823 
247 7 8 26 51979 
248 3 0 11 52174 
249 19 11 37 52409 
250 14 2 42 52562 
251 6 18 32 52749 
252 13 17 37 52938 
253 6 19 44 53096 
254 3 17 45 53342 
255 0 3 38 53521 
256 14 3 47 53794 
257 6 4 50 54086 
258 10 5 28 54250 
259 11 7 25 54441 
260 12 1 23 54694 
261 11 18 29 54958 
262 18 10 28 55238 
263 18 14 39 55376 
264 8 14 38 55533 
265 3 9 47 55813 
266 2 9 42 55978 
267 14 1 25 56168 
268 5 8 25 56317 
269 13 11 32 56447 
270 16 6 40 56733 
271 0 5 41 56982 
272 9 14 44 57103 
273 10 4 50 57389 
274 18 5 16 57560 
275 1 1 22 57824 
276 12 0 45 58087 
277 1 3 13 58274 
278 7 12 17 58469 
279 11 11 31 58740 
280 5 9 22 58911 
281 18 2 27 59170 
282 10 19 37 59340 
283 9 19 15 59515 
284 15 7 40 59760 
285 6 10 32 59895 
286 1 18 31 60181 
287 3 17 13 60312 
288 0 12 44 60573 
289 0 6 42 60837 
290 10 14 37 61017 
291 5 14 30 61172 
292 7 4 16 61313 
293 6 11 24 61609 
294 1 15 28 61880 
295 15 18 37 62080 
296 19 15 16 62361 
297 8 5 24 62660 
298 3 14 36 62805 
299 19 14 23 62995 
300 5 7 32 63207 
301 14 14 43 63361 
302 15 11 13 63617 
303 4 7 34 63838 
304 17 19 37 63960 
305 1 2 42 64237 
306 12 15 23 64389 
307 12 5 10 64632 
308 4 7 26 64908 
309 10 16 12 65165 
310 15 18 21 65459 
311 10 19 43 65668 
312 9 14 35 65870 
313 8 19 34 66062 
314 12 1 48 66220 
315 11 4 38 66378 
316 8 10 10 66658 
317 13 17 17 66942 
318 10 12 11 67126 
319 16 15 31 67259 
320 9 1 44 67397 
321 4 4 30 67588 
322 17 12 44 67788 
323 9 13 30 68077 
324 17 11 21 68357 
325 8 0 28 68522 
326 14 9 12 68703 
327 15 19 33 68916 
328 17 17 48 69040 
329 3 18 21 69322 
330 6 8 34 69553 
331 10 0 32 69719 
332 7 14 48 69916 
333 3 6 45 70061 
334 9 13 39 70346 
335 18 10 11 70643 
336 19 0 28 70939 
337 18 16 48 71068 
338 4 17 16 71294 
339 14 8 48 71420 
340 3 3 18 71592 
341 9 18 47 71865 
342 14 12 29 71986 
-1
