Starting time = 51631-12-18 16:27:46, total reqs = 100, total truck = 20
route[1] = 1  -> 41  -> 443  -> 444  -> 297  -> 273  -> 274  -> 189  -> 190  -> 165  -> 298  -> 166  -> 129  -> 130  -> 733  -> 429  -> 430  -> 734  -> 737  -> 738  -> 249  -> 250  -> 201  -> 117  -> 202  -> 118  -> 719  -> 720  -> 237  -> 238  -> 105  -> 431  -> 106  -> 739  -> 740  -> 432  -> 213  -> 214  -> 731  -> 732  -> 141  -> 142  -> 177  -> 178  -> 153  -> 93  -> 94  -> 261  -> 262  -> 154  -> 757  -> 285  -> 286  -> 225  -> 226  -> 81  -> 82  -> 758  -> 735  -> 736  -> 42  -> 2
route[2] = 3  -> 49  -> 397  -> 398  -> 389  -> 390  -> 309  -> 413  -> 310  -> 414  -> 391  -> 387  -> 392  -> 388  -> 383  -> 384  -> 427  -> 428  -> 395  -> 396  -> 401  -> 402  -> 403  -> 381  -> 382  -> 357  -> 358  -> 404  -> 321  -> 425  -> 322  -> 426  -> 419  -> 423  -> 420  -> 415  -> 424  -> 416  -> 409  -> 410  -> 411  -> 393  -> 412  -> 394  -> 369  -> 405  -> 370  -> 417  -> 418  -> 407  -> 406  -> 408  -> 399  -> 400  -> 385  -> 386  -> 345  -> 421  -> 346  -> 422  -> 333  -> 334  -> 50  -> 4
route[3] = 5  -> 55  -> 751  -> 752  -> 741  -> 683  -> 742  -> 684  -> 527  -> 528  -> 491  -> 492  -> 455  -> 456  -> 707  -> 708  -> 587  -> 599  -> 600  -> 588  -> 659  -> 660  -> 647  -> 648  -> 611  -> 563  -> 612  -> 564  -> 695  -> 696  -> 749  -> 750  -> 623  -> 624  -> 671  -> 503  -> 672  -> 504  -> 745  -> 746  -> 747  -> 748  -> 515  -> 479  -> 516  -> 480  -> 635  -> 753  -> 636  -> 754  -> 575  -> 576  -> 551  -> 552  -> 467  -> 468  -> 755  -> 756  -> 743  -> 744  -> 539  -> 540  -> 56  -> 6
route[4] = 7  -> 57  -> 779  -> 780  -> 775  -> 776  -> 763  -> 764  -> 759  -> 760  -> 773  -> 774  -> 769  -> 770  -> 761  -> 762  -> 771  -> 772  -> 767  -> 768  -> 765  -> 766  -> 777  -> 778  -> 58  -> 8
route[5] = 9  -> 10
route[6] = 11  -> 12
route[7] = 13  -> 14
route[8] = 15  -> 16
route[9] = 17  -> 18
route[10] = 19  -> 20
route[11] = 21  -> 22
route[12] = 23  -> 24
route[13] = 25  -> 26
route[14] = 27  -> 28
route[15] = 29  -> 30
route[16] = 31  -> 32
route[17] = 33  -> 34
route[18] = 35  -> 36
route[19] = 37  -> 38
route[20] = 39  -> 40

end time = 51631-12-18 18:59:37, total runtime = 9.112, #RejectedReqs = 0, nb Trucks = 4, cost = 567468.0
