Starting time = 51649-09-08 07:25:11, total reqs = 150, total truck = 30
2 1567739568 574699.0 0 4
7 1567739773 571487.0 0 4
9 1567739892 566244.0 0 4
22 1567740501 563360.0 0 4
29 1567740799 536753.0 0 4
44 1567741435 535112.0 0 4
170 1567746989 532869.0 0 4
174 1567747246 509898.0 0 3
796 1567775409 492606.0 0 3
800 1567775538 492606.0 0 3
route[1] = 1  -> 63  -> 329  -> 330  -> 1159  -> 1160  -> 1101  -> 365  -> 366  -> 955  -> 956  -> 407  -> 1102  -> 408  -> 1161  -> 871  -> 1162  -> 872  -> 211  -> 945  -> 212  -> 946  -> 473  -> 474  -> 659  -> 1131  -> 660  -> 1132  -> 751  -> 225  -> 752  -> 543  -> 544  -> 1147  -> 226  -> 1148  -> 1037  -> 1038  -> 1063  -> 801  -> 1064  -> 802  -> 281  -> 161  -> 162  -> 559  -> 560  -> 1151  -> 1152  -> 547  -> 548  -> 282  -> 459  -> 1125  -> 1126  -> 775  -> 776  -> 239  -> 240  -> 975  -> 976  -> 460  -> 923  -> 853  -> 854  -> 924  -> 571  -> 687  -> 572  -> 688  -> 713  -> 595  -> 596  -> 1139  -> 1140  -> 1153  -> 714  -> 241  -> 242  -> 605  -> 606  -> 573  -> 1154  -> 907  -> 574  -> 908  -> 553  -> 554  -> 785  -> 189  -> 786  -> 391  -> 190  -> 645  -> 646  -> 373  -> 374  -> 392  -> 1067  -> 1068  -> 169  -> 170  -> 64  -> 2
route[2] = 3  -> 65  -> 603  -> 997  -> 998  -> 1091  -> 604  -> 1087  -> 1088  -> 1092  -> 523  -> 524  -> 681  -> 682  -> 551  -> 552  -> 1113  -> 1133  -> 1134  -> 129  -> 130  -> 719  -> 1114  -> 293  -> 720  -> 1165  -> 1166  -> 589  -> 590  -> 567  -> 568  -> 1109  -> 1110  -> 557  -> 558  -> 294  -> 1107  -> 811  -> 1108  -> 503  -> 504  -> 617  -> 618  -> 1045  -> 812  -> 1046  -> 155  -> 156  -> 1119  -> 1120  -> 563  -> 1093  -> 1094  -> 564  -> 1155  -> 1156  -> 921  -> 922  -> 317  -> 318  -> 1099  -> 1100  -> 843  -> 844  -> 443  -> 444  -> 1111  -> 1157  -> 1158  -> 577  -> 1112  -> 561  -> 562  -> 578  -> 353  -> 545  -> 354  -> 607  -> 608  -> 1097  -> 1098  -> 546  -> 967  -> 968  -> 1137  -> 1138  -> 705  -> 706  -> 66  -> 4
route[3] = 5  -> 73  -> 581  -> 582  -> 1129  -> 1130  -> 1141  -> 579  -> 1142  -> 585  -> 586  -> 580  -> 481  -> 482  -> 1009  -> 1010  -> 549  -> 597  -> 598  -> 550  -> 1095  -> 1149  -> 1096  -> 1150  -> 991  -> 735  -> 992  -> 1123  -> 1124  -> 633  -> 634  -> 736  -> 1169  -> 135  -> 1170  -> 136  -> 411  -> 1115  -> 412  -> 1116  -> 601  -> 1135  -> 1136  -> 602  -> 821  -> 583  -> 584  -> 822  -> 1021  -> 1022  -> 587  -> 1127  -> 588  -> 269  -> 270  -> 765  -> 766  -> 1128  -> 1103  -> 569  -> 1104  -> 570  -> 1143  -> 1144  -> 257  -> 193  -> 258  -> 194  -> 301  -> 653  -> 302  -> 654  -> 431  -> 555  -> 432  -> 599  -> 600  -> 591  -> 592  -> 556  -> 1117  -> 1118  -> 893  -> 453  -> 894  -> 454  -> 537  -> 513  -> 514  -> 538  -> 833  -> 593  -> 834  -> 609  -> 610  -> 1167  -> 594  -> 1121  -> 1168  -> 1122  -> 1145  -> 1146  -> 565  -> 566  -> 541  -> 542  -> 1105  -> 339  -> 1106  -> 575  -> 340  -> 1163  -> 576  -> 1164  -> 877  -> 878  -> 74  -> 6
route[4] = 7  -> 8
route[5] = 9  -> 10
route[6] = 11  -> 12
route[7] = 13  -> 14
route[8] = 15  -> 16
route[9] = 17  -> 18
route[10] = 19  -> 20
route[11] = 21  -> 22
route[12] = 23  -> 24
route[13] = 25  -> 26
route[14] = 27  -> 28
route[15] = 29  -> 30
route[16] = 31  -> 32
route[17] = 33  -> 34
route[18] = 35  -> 36
route[19] = 37  -> 38
route[20] = 39  -> 40
route[21] = 41  -> 42
route[22] = 43  -> 44
route[23] = 45  -> 46
route[24] = 47  -> 48
route[25] = 49  -> 50
route[26] = 51  -> 52
route[27] = 53  -> 54
route[28] = 55  -> 56
route[29] = 57  -> 58
route[30] = 59  -> 60

end time = 51650-10-30 12:08:52, total runtime = 36045.823, #RejectedReqs = 0, nb Trucks = 3, cost = 492606.0
