i1 i2 i3 i4 i5 nbRejectedReq Cost Time
0 0 0 0 0 0 187794.0 649
0 0 0 0 1 0 196830.0 760
0 0 0 0 2 0 194337.0 191
0 0 0 1 0 0 187083.0 497
0 0 0 1 1 0 174789.0 342
0 0 0 1 2 0 176652.0 765
0 0 0 2 0 0 178164.0 111
0 0 0 2 1 0 177543.0 512
0 0 0 2 2 0 200628.0 448
0 0 1 0 0 0 187254.0 724
0 0 1 0 1 0 173538.0 703
0 0 1 0 2 0 199350.0 176
0 0 1 1 0 0 209160.0 647
0 0 1 1 1 0 183123.0 408
0 0 1 1 2 0 187380.0 668
0 0 1 2 0 0 191340.0 146
0 0 1 2 1 0 182970.0 774
0 0 1 2 2 0 184689.0 308
0 0 2 0 0 0 164295.0 304
0 0 2 0 1 0 199773.0 718
0 0 2 0 2 0 184428.0 415
0 0 2 1 0 0 178209.0 497
0 0 2 1 1 0 184833.0 394
0 0 2 1 2 0 192357.0 273
0 0 2 2 0 0 204057.0 550
0 0 2 2 1 0 208089.0 211
0 0 2 2 2 0 187875.0 577
0 1 0 0 0 0 173367.0 293
0 1 0 0 1 0 195498.0 552
0 1 0 0 2 0 178164.0 24
0 1 0 1 0 0 197433.0 35
0 1 0 1 1 0 182421.0 43
0 1 0 1 2 0 202464.0 220
0 1 0 2 0 0 198846.0 239
0 1 0 2 1 0 174456.0 121
0 1 0 2 2 0 162342.0 620
0 1 1 0 0 0 183222.0 654
0 1 1 0 1 0 160767.0 482
0 1 1 0 2 0 183195.0 451
0 1 1 1 0 0 175680.0 460
0 1 1 1 1 0 167940.0 287
0 1 1 1 2 0 182376.0 470
0 1 1 2 0 0 194094.0 108
0 1 1 2 1 0 169740.0 332
0 1 1 2 2 0 189027.0 250
0 1 2 0 0 0 204300.0 312
0 1 2 0 1 0 207423.0 168
0 1 2 0 2 0 175383.0 259
0 1 2 1 0 0 175203.0 9
0 1 2 1 1 0 165204.0 673
0 1 2 1 2 0 179127.0 620
0 1 2 2 0 0 155214.0 534
0 1 2 2 1 0 170703.0 158
0 1 2 2 2 0 163683.0 345
1 0 0 0 0 0 188019.0 150
1 0 0 0 1 0 201276.0 117
1 0 0 0 2 0 179541.0 538
1 0 0 1 0 0 189990.0 633
1 0 0 1 1 0 182790.0 691
1 0 0 1 2 0 168822.0 636
1 0 0 2 0 0 188883.0 726
1 0 0 2 1 0 184104.0 54
1 0 0 2 2 0 179919.0 557
1 0 1 0 0 0 172530.0 311
1 0 1 0 1 0 202896.0 752
1 0 1 0 2 0 179469.0 600
1 0 1 1 0 0 189036.0 180
1 0 1 1 1 0 192978.0 549
1 0 1 1 2 0 212256.0 89
1 0 1 2 0 0 186129.0 741
1 0 1 2 1 0 190665.0 259
1 0 1 2 2 0 173304.0 181
1 0 2 0 0 0 177570.0 659
1 0 2 0 1 0 164205.0 374
1 0 2 0 2 0 199233.0 363
1 0 2 1 0 0 169479.0 661
1 0 2 1 1 0 180486.0 493
1 0 2 1 2 0 200142.0 96
1 0 2 2 0 0 196029.0 694
1 0 2 2 1 0 183708.0 647
1 0 2 2 2 0 190476.0 538
1 1 0 0 0 0 179685.0 709
1 1 0 0 1 0 195390.0 305
1 1 0 0 2 0 189513.0 217
1 1 0 1 0 0 178227.0 75
1 1 0 1 1 0 192447.0 316
1 1 0 1 2 0 195507.0 565
1 1 0 2 0 0 182016.0 371
1 1 0 2 1 0 168777.0 511
1 1 0 2 2 0 150030.0 693
1 1 1 0 0 0 181044.0 135
1 1 1 0 1 0 191682.0 725
1 1 1 0 2 0 172386.0 492
1 1 1 1 0 0 166761.0 150
1 1 1 1 1 0 174753.0 579
1 1 1 1 2 0 182466.0 803
1 1 1 2 0 0 195543.0 386
1 1 1 2 1 0 183852.0 598
1 1 1 2 2 0 194139.0 716
1 1 2 0 0 0 182754.0 686
1 1 2 0 1 0 161325.0 654
1 1 2 0 2 0 173835.0 399
1 1 2 1 0 0 182484.0 316
1 1 2 1 1 0 191430.0 673
1 1 2 1 2 0 176463.0 624
1 1 2 2 0 0 174699.0 665
1 1 2 2 1 0 172422.0 626
1 1 2 2 2 0 206379.0 587
