Iteration Inst nbReq nbRejectReq cost time
0 0 8 0 68571.0 1581306966
0 0 70 4 511380.0 1581312244
0 0 100 3 847872.0 1581319121
0 0 150 0 1038779.0 1581325865
0 0 200 0 1401111.0 1581333646
0 1 8 0 55737.0 1581337714
0 1 70 0 610812.0 1581342103
0 1 100 1 796185.0 1581348661
0 1 150 0 1160901.0 1581355117
0 1 200 0 1375920.0 1581364134
0 2 8 0 80739.0 1581368324
0 2 70 1 698481.0 1581370091
0 2 100 0 763857.0 1581380439
0 2 150 0 975033.0 1581387734
0 2 200 0 1489779.0 1581394810
0 3 8 0 86220.0 1581398950
0 3 70 0 461709.0 1581403484
0 3 100 0 717678.0 1581411421
0 3 150 0 1180557.0 1581418216
0 3 200 0 1634004.0 1581425898
0 4 8 0 77742.0 1581429735
0 4 70 9 589050.0 1581432460
0 4 100 0 834066.0 1581440495
0 4 150 0 1211166.0 1581448541
0 4 200 0 1922967.0 1581458794
1 0 8 0 68571.0 1581582277
1 0 70 5 494469.0 1581587147
1 0 100 2 818451.0 1581591594
1 0 150 0 997118.0 1581601723
1 0 200 0 1419093.0 1581609304
1 1 8 0 68553.0 1581612985
1 1 70 0 570330.0 1581618199
1 1 100 2 794961.0 1581624858
1 1 150 0 1119339.0 1581630905
1 1 200 0 1299609.0 1581639934
1 2 8 0 60507.0 1581643691
1 2 70 0 711963.0 1581647165
1 2 100 0 749763.0 1581655572
1 2 150 0 1137915.0 1581661492
1 2 200 0 1410075.0 1581670945
1 3 8 0 99135.0 1581674592
1 3 70 0 495585.0 1581678774
1 3 100 24 1018836.0 1581683600
1 3 150 0 1086822.0 1581694328
1 3 200 0 1535796.0 1581700665
1 4 8 0 78660.0 1581705591
1 4 70 9 582705.0 1581708232
1 4 100 0 786672.0 1581717120
1 4 150 0 1236933.0 1581725191
1 4 200 0 1355958.0 1581732795
2 0 8 0 48321.0 1581736705
2 0 70 4 463553.0 1581740588
2 0 100 3 1399553.0 1581745698
2 0 150 0 1218600.0 1581753410
2 0 200 0 1316673.0 1581764016
2 1 8 0 44262.0 1581767811
2 1 70 0 576045.0 1581772150
2 1 100 0 919449.0 1581779028
2 1 150 0 1067040.0 1581786412
2 1 200 0 1402182.0 1581792809
2 2 8 0 39222.0 1581798548
2 2 70 0 872712.0 1581801333
2 2 100 0 793026.0 1581808886
2 2 150 0 1018818.0 1581818100
2 2 200 0 1412343.0 1581825290
2 3 8 0 95742.0 1581829234
2 3 70 0 531405.0 1581833896
2 3 100 0 771741.0 1581841747
2 3 150 0 1098549.0 1581847483
2 3 200 0 1438875.0 1581856286
2 4 8 0 89550.0 1581859953
