Iteration Inst nbReq nbRejectReq cost time
0 0 8 0 48321.0 1581307178
0 0 70 7 527273.0 1581312317
0 0 100 8 743777.0 1581321197
0 0 150 0 1248911.0 1581328324
0 0 200 0 1564685.0 1581336312
0 1 8 0 39024.0 1581337909
0 1 70 2 595134.0 1581343191
0 1 100 5 791010.0 1581350232
0 1 150 0 1339136.0 1581359363
0 1 200 0 1531719.0 1581365322
0 2 8 0 38223.0 1581368532
0 2 70 4 593802.0 1581374602
0 2 100 2 796707.0 1581383278
0 2 150 0 1341099.0 1581389002
0 2 200 0 1650186.0 1581396167
0 3 8 0 81351.0 1581399154
0 3 70 1 573398.0 1581404464
0 3 100 1 894294.0 1581411590
0 3 150 0 1242755.0 1581421972
0 3 200 0 1722591.0 1581429589
0 4 8 0 70245.0 1581430007
0 4 70 13 414837.0 1581435630
0 4 100 3 881388.0 1581442607
0 4 150 0 1375758.0 1581452365
0 4 200 0 1597509.0 1581462128
1 0 8 0 48321.0 1581582487
1 0 70 9 408744.0 1581587714
1 0 100 7 747864.0 1581596242
1 0 150 0 1283876.0 1581604838
1 0 200 0 1531602.0 1581611800
1 1 8 0 39024.0 1581613254
1 1 70 2 624069.0 1581619695
1 1 100 6 724005.0 1581626466
1 1 150 0 1313460.0 1581633949
1 1 200 0 1564164.0 1581643690
1 2 8 0 38223.0 1581643913
1 2 70 7 563634.0 1581649331
1 2 100 3 834921.0 1581656329
1 2 150 0 1272573.0 1581666689
1 2 200 0 1686644.0 1581674382
1 3 8 0 81351.0 1581674827
1 3 70 1 581931.0 1581680085
1 3 100 0 977094.0 1581687359
1 3 150 0 1185912.0 1581696119
1 3 200 0 1716390.0 1581704316
1 4 8 0 70245.0 1581705902
1 4 70 10 472284.0 1581711158
1 4 100 6 819918.0 1581718524
1 4 150 0 1402902.0 1581728585
1 4 200 0 1651617.0 1581735697
2 0 8 0 48321.0 1581736949
2 0 70 8 488025.0 1581742081
2 0 100 7 792756.0 1581749332
2 0 150 0 1266732.0 1581759812
2 0 200 0 1574181.0 1581767810
2 1 8 0 39024.0 1581768003
2 1 70 2 671616.0 1581773091
2 1 100 8 727515.0 1581780379
2 1 150 0 1328085.0 1581789160
2 1 200 0 1547955.0 1581795706
2 2 8 0 38223.0 1581798754
2 2 70 5 623412.0 1581803936
2 2 100 2 901296.0 1581811187
2 2 150 0 1314225.0 1581818800
2 2 200 0 1650186.0 1581828698
2 3 8 0 81351.0 1581829450
2 3 70 0 590958.0 1581834575
2 3 100 1 881640.0 1581842104
2 3 150 0 1232991.0 1581851582
2 3 200 0 1692827.0 1581857206
2 4 8 0 70245.0 1581860177
2 4 70 11 465750.0 1581865379
2 4 100 4 878103.0 1581872699
2 4 150 0 1356453.0 1581881320
2 4 200 0 1651995.0 1581893975
4 0 8 0 48321.0 1582072612
4 0 70 7 552501.0 1582077769
4 0 100 6 789273.0 1582085049
4 0 150 0 1286505.0 1582093736
4 0 200 0 1544355.0 1582100856
4 1 8 0 39024.0 1582103311
4 1 70 3 621450.0 1582108601
4 1 100 6 693900.0 1582118722
4 1 150 0 1347597.0 1582123872
4 1 200 0 1565055.0 1582132661
4 2 8 0 38223.0 1582134087
4 2 70 4 665694.0 1582139181
4 2 100 1 929115.0 1582146346
4 2 150 1 1267938.0 1582156749
4 2 200 0 1670976.0 1582162644
4 3 8 0 81351.0 1582164661
4 3 70 2 584370.0 1582169676
4 3 100 0 847179.0 1582178162
4 3 150 0 1277847.0 1582184934
4 3 200 0 1700496.0 1582193853
4 4 8 0 70245.0 1582195484
4 4 70 12 407898.0 1582201839
4 4 100 4 807408.0 1582209014
4 4 150 0 1421469.0 1582217394
4 4 200 0 1606167.0 1582224146
5 0 8 0 48321.0 1582227306
5 0 70 8 440388.0 1582234488
5 0 100 8 780066.0 1582239589
5 0 150 0 1214999.0 1582249191
5 0 200 0 1548900.0 1582255199
5 1 8 0 39024.0 1582257809
5 1 70 2 646164.0 1582262931
5 1 100 5 730170.0 1582271687
5 1 150 0 1332036.0 1582277324
5 1 200 0 1590786.0 1582286764
5 2 8 0 38223.0 1582288274
5 2 70 5 568800.0 1582294919
5 2 100 2 837135.0 1582301459
5 2 150 1 1301562.0 1582307957
5 2 200 0 1630287.0 1582315919
5 3 8 0 81351.0 1582318816
5 3 70 0 627624.0 1582323888
5 3 100 0 904896.0 1582331464
5 3 150 0 1137501.0 1582340350
5 3 200 0 1681020.0 1582348127
5 4 8 0 70245.0 1582349781
5 4 70 10 468423.0 1582354972
5 4 100 3 843354.0 1582362175
5 4 150 0 1316214.0 1582371217
5 4 200 0 1600110.0 1582378668
