time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
3750	203.5448480107846	95.88253318216243	81.71469871144981	81.71469871144981
7500	542.5177500540445	315.9263454204038	348.23179358435766	295.60412584696456
11250	770.5885140736739	444.98426987266214	471.48646229603514	368.6076014292803
15000	966.3747927773825	602.606632689482	633.3744494367742	457.73771701195506
18750	1298.609030731218	796.2042683425769	903.7148830025562	660.82944009246
22500	1601.224720102258	986.291386595742	1093.786710189943	788.1502469155337
26250	1835.0415991541731	1115.681164058988	1238.111625592118	883.3747972845547
30000	2067.088481895255	1255.7504647349438	1387.533712015299	999.5048854883665
33750	2250.8118540135483	1367.9157175907235	1543.614700368058	1092.6961042497787
37500	2465.20081985333	1545.1830914779514	1730.068254637361	1257.4781547498908
41250	2696.869210413216	1717.404115836073	1809.819995705654	1342.7821023676622
45000	2895.9193921404244	1876.5705095174806	1936.9306730944154	1441.0218607178435
48750	3172.303206799772	2087.020658544939	2067.754304827927	1518.5786805930993
52500	3386.1952196739785	2255.0711659298395	2208.654033997614	1638.292430113765
56250	3616.6638321648097	2411.469198225479	2352.838354766805	1761.221438868342
60000	3884.8722343446125	2632.4099343317453	2492.9004347258165	1875.5442450603982
63750	4172.943316600271	2819.1386601906574	2682.9074820242276	2016.6927653392277
67500	4376.00076671414	2976.372427885838	2810.290578748917	2137.8499161575746
71250	4598.31033262022	3143.4461627195215	2986.6747454431365	2271.5198314999034
75000	4642.144990823122	3187.2808209224067	3007.171406433591	2285.5782859095884
75020	4642.144990823122	3187.2808209224067	3007.171406433591	2285.578285909589
