time 	 one-one 	 insert 	 one-one-improve 	 insert-improve
0	0.0	0.0	0.0	0.0
4510	914.2502454289971	569.0288500741035	525.3163757866542	407.72464652430784
9020	1706.1537253521808	1090.6983617701076	1120.8342405694298	844.5213208232914
13530	2504.935631149966	1568.1344332724905	1692.5271031275959	1166.4869793234245
18040	3373.784572757648	2069.5262777964404	2155.8521356926663	1473.7482181875616
22550	4238.106500443407	2622.219631975291	2632.1909828001817	1786.516046876008
27060	5146.952717250139	3140.287254701837	3061.366631624984	2024.93341582187
31570	5955.679275492272	3660.2688153568965	3528.758893744382	2337.498506511506
36080	6774.5196169859155	4202.853696267214	4024.506388187951	2679.2918578498748
40590	7614.787430552135	4755.3779819710435	4469.16084694389	2927.9938740990465
45100	8549.507346261356	5318.55789901611	4953.221675967836	3271.1268756568875
49610	9398.117620448087	5815.185368049019	5391.40133554392	3561.035743150934
54120	10211.104432707489	6304.614930709842	5913.1679148765925	3895.2562155188366
58630	11059.300547319222	6878.281521859313	6460.883461027696	4216.286078223875
63140	11842.707835170046	7355.470929795685	6858.1435128239555	4471.700244500658
67650	12747.287535116599	7903.686666256546	7393.181079256956	4864.180533567298
72160	13573.669372887296	8470.24043999275	7807.7337538642105	5100.508244576153
76670	13573.669372887294	8470.240439992747	7807.733753864214	5100.508244576154
81180	13573.669372887294	8470.240439992747	7807.733753864216	5100.508244576161
85690	13573.669372887294	8470.240439992747	7807.733753864216	5100.508244576179
90200	13573.669372887294	8470.240439992747	7807.733753864216	5100.508244576188
90210	13573.669372887294	8470.240439992747	7807.733753864216	5100.508244576188
